Stundenplan  WiSe 2014 Vers. 1.1.2 vom 08.10.2014
Semestergruppe  A-M


38
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,8:10,9:40

42
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40

43, 49
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-MSP/02,JNM,1365,Di,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-ELP2/01,DHL/[Has],0505,Di,12:10,15:40

44
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-ELP2/02,DHL/[Has],0505,Di,12:10,15:40
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-SSP/02,MCL,1303b,Mo,8:10,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-MSP/01,JNM,1365,Di,12:10,15:40
B-EE3-SSP/01,MCL,1360,Di,8:10,11:25
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,8:10,9:40

46
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-MSP/02,JNM,1365,Di,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-ELP2/01,DHL/[Has],0505,Di,12:10,15:40
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,8:10,9:40

47
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-ELP2/02,DHL/[Has],0505,Di,12:10,15:40
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-SSP/02,MCL,1303b,Mo,8:10,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-MSP/01,JNM,1365,Di,12:10,15:40
B-EE3-SSP/01,MCL,1360,Di,8:10,11:25

48
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-IPJ1,KPL,1465,Di,12:10,19:10
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,8:10,9:40

50
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-ELP2/02,DHL/[Has],0505,Di,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-SSP/02,MCL,1303b,Mo,8:10,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-MSP/01,JNM,1365,Di,12:10,15:40
B-EE3-SSP/01,MCL,1360,Di,8:10,11:25
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,8:10,9:40

51
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-IPJ1,KPL,1486,Fr,8:10,15:40

55
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-ELP2/01,DHL/[Has],0505,Di,12:10,15:40
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,8:10,9:40

