Stundenplan  SoSe 2013 Vers 1.0.6 vom  14.03.2013
Semestergruppe  A-M


11
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-GE1,RTT,0665,Mo,8:10,11:25
BMT1-PR1,LMN,Stiftstr.69  R205,Fr,8:10,11:25
BMT1-PH,STR,MP-F327,Mo,12:15,15:30
BMT1-KO1 Tutor,,MP-F227,Mi,16:00,17:30

22
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-MA1/MA‹1,JNM,1265,Mi,12:10,15:40
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
BMT1-TMA U,Kle,MP-A5.14,Do,8:15,9:45
BMT1-TMA U,Kle,MP-A5.14,Do,12:15,15:45
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F203,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F223,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F227,Mi,8:15,11:30
BMT1-MA1/MA‹1 Tutorium,,0665,Do,15:55,17:25
BMT1-GE1,RTT,0665,Mo,8:10,11:25
BMT1-GEP1/02,RTT/[Hem],0501,Di,12:10,15:40
BMT1-MA1/MA‹1,JNM,1265,Di,8:10,11:25
BMT1-PR1,LMN,Stiftstr.69  R205,Fr,8:10,11:25
BMT1-PRP1/03,LMN/[Ben],0709,Di,12:30,16:00
BMT1-PH,STR,MP-F327,Mo,12:15,15:30
BMT1-KO1 Tutor,,MP-F227,Di,16:00,17:30
BMT1-KO1 Tutor,,MP-F227,Mi,16:00,17:30

23
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-MA1/MA‹1,JNM,1265,Mi,12:10,15:40
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
BMT1-TMA U,Kle,MP-A5.14,Do,8:15,9:45
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F203,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F223,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F227,Mi,8:15,11:30
BMT1-MA1/MA‹1 Tutorium,,0665,Do,15:55,17:25
BMT1-GE1,RTT,0665,Mo,8:10,11:25
BMT1-GEP1/03,RTT/[Hem],0501,Di,12:10,15:40
BMT1-MA1/MA‹1,JNM,1265,Di,8:10,11:25
BMT1-PR1,LMN,Stiftstr.69  R205,Fr,8:10,11:25
BMT1-PRP1/01,LMN/[Ben],0709,Di,12:30,16:00
BMT1-PH,STR,MP-F327,Mo,12:15,15:30
BMT1-KO1 Tutor,,MP-F227,Di,16:00,17:30
BMT1-KO1 Tutor,,MP-F227,Mi,16:00,17:30

24
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-MA1/MA‹1,JNM,1265,Mi,12:10,15:40
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
BMT1-TMA U,Kle,MP-A5.14,Do,8:15,9:45
BMT1-TMA U,Kle,MP-A5.14,Do,12:15,15:45
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F203,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F223,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F227,Mi,8:15,11:30
BMT1-MA1/MA‹1 Tutorium,,0665,Do,15:55,17:25
BMT1-GEP1/01,RTT/[Hem],0501,Di,12:10,15:40
BMT1-MA1/MA‹1,JNM,1265,Di,8:10,11:25
BMT1-PR1,LMN,Stiftstr.69  R205,Fr,8:10,11:25
BMT1-PRP1/02,LMN/[Ben],0709,Di,12:30,16:00
BMT1-PH,STR,MP-F327,Mo,12:15,15:30
BMT1-KO1 Tutor,,MP-F227,Di,16:00,17:30
BMT1-KO1 Tutor,,MP-F227,Mi,16:00,17:30

25
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-MA1/MA‹1,JNM,1265,Mi,12:10,15:40
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
